Sampler:TPESampler
(44, 204, 159), 36.0
(32, 192, 176), 50.0
(10, 206, 171), 44.0
(37, 200, 175), 46.0
(32, 182, 149), 54.0
(19, 195, 154), 58.0
(39, 204, 143), 40.0
(42, 207, 158), 46.0
(36, 183, 157), 40.0
(36, 201, 140), 48.0
(36, 198, 148), 54.0
(50, 208, 151), 46.0
(45, 200, 143), 59.0
(50, 193, 164), 40.0
(35, 204, 141), 54.0
(82, 196, 134), 42.0
(36, 199, 152), 67.0
(12, 198, 157), 58.0
(84, 182, 158), 40.0
(72, 189, 158), 38.0
(54, 182, 174), 38.0
(76, 186, 127), 48.0
(103, 223, 128), 60.0
(81, 194, 170), 50.0
(51, 193, 144), 40.0
(90, 172, 170), 37.0
(97, 188, 160), 50.0
(20, 169, 184), 66.0
(62, 193, 146), 60.0
(99, 170, 146), 50.0
(76, 193, 161), 42.0
(80, 173, 186), 58.0
(76, 173, 123), 58.0
(78, 192, 152), 72.0
(7, 201, 155), 48.0
(93, 187, 136), 44.0
(52, 213, 144), 42.0
(103, 194, 151), 58.0
(52, 211, 182), 38.0
(71, 160, 196), 50.0
(41, 219, 176), 67.0
(48, 207, 157), 34.0
(57, 210, 134), 64.0
(80, 185, 175), 44.0
(13, 219, 154), 80.0
(92, 187, 165), 46.0
(62, 197, 166), 54.0
(21, 187, 172), 54.0
(57, 202, 151), 60.0
(48, 197, 161), 58.0
(36, 220, 171), 60.0
(68, 216, 153), 68.0
(65, 184, 167), 58.0
(9, 218, 165), 46.0
(66, 171, 158), 52.0
(29, 192, 171), 50.0
(47, 198, 154), 72.0
(95, 189, 140), 56.0
(31, 230, 146), 54.0
(26, 210, 167), 48.0
(19, 200, 178), 40.0
(28, 209, 168), 40.0
(15, 204, 166), 66.0
(8, 186, 189), 48.0
(35, 213, 190), 58.0
(28, 176, 180), 54.0
(83, 189, 170), 53.0
(65, 198, 165), 40.0
(31, 204, 162), 68.0
(29, 203, 164), 52.0
(72, 200, 166), 68.0
(66, 188, 179), 40.0
(53, 198, 176), 80.0
(54, 202, 159), 48.0
(49, 203, 166), 64.0
(53, 193, 176), 70.0
(81, 202, 165), 72.0
(56, 196, 177), 60.0
(47, 217, 159), 67.0
(49, 214, 167), 44.0
(49, 190, 172), 43.0
